City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,altai,46.3722,96.2583,3.76,3.76,99,2.66,Altai,1683748103
178,marquette,46.5333,-87.6335,20.14,12.96,100,2.25,Marquette,1683748096
179,pangkalanbuun,-2.6833,111.6167,22.95,22.95,37,1.16,Pangkalanbuun,1683748104
180,kodiak,57.79,-152.4072,5.73,5.73,100,9.77,Saint Paul Harbor,1683748105
181,greenville,35.6127,-77.3663,25.01,23.41,0,3.09,Greenville,1683747682
182,datca,36.7378,27.6842,18.31,18.31,98,3.21,Datça,1683748106
183,caburan,5.9181,125.6411,26.7,26.7,100,0.57,Caburan,1683748107
184,northam,51.0333,-4.2167,11.88,10.7,99,6.63,Northam,1683748107
185,datong,40.0936,113.2914,14.01,14.01,98,1.66,Datong,1683748108
186,nantucket,41.2835,-70.0995,19.06,14.06,0,7.72,Nantucket,1683748108
187,bodo,67.28,14.405,12.19,10.81,0,5.66,Bodø,1683748109
188,quimili,-27.6333,-62.4167,25.53,25.53,0,2.02,Quimilí,1683748110
189,namibe,-15.1961,12.1522,23.21,23.21,24,4.28,Mossamedes,1683748110
190,la passe,45.5549,-0.8967,15.13,13.88,100,5.33,La Passe,1683748111
191,bhilai,21.2167,81.4333,32.35,32.35,10,3.22,Bhilai,1683748111
192,minot air force base,48.4209,-101.3391,24.99,24.1,0,2.06,Minot Air Force Base,1683748112
193,thompson,55.7435,-97.8558,16.09,16.09,75,3.6,Thompson,1683748112
194,mount pearl,47.5166,-52.7813,9.19,7.63,40,10.29,Mount Pearl,1683748113
195,nar'yan-mar,67.6713,53.087,-4.77,-4.77,80,0.99,Naryan-Mar,1683748114
196,rikaze,29.25,88.8833,4.01,4.01,30,2.0,Xigazê,1683748114
197,vilyuchinsk,52.9306,158.4028,2.15,1.81,80,1.49,Vilyuchinsk,1683748115
198,st. john's,47.5649,-52.7093,9.66,8.09,40,10.29,St. John's,1683747856
199,ngama,11.7833,17.1667,36.54,36.54,100,1.05,Ngama,1683748116
200,punta arenas,-53.15,-70.9167,6.06,5.62,75,3.6,Punta Arenas,1683748117
201,ilek,51.5271,53.3831,9.81,9.81,100,2.86,Ilek,1683748117
202,pakxan,18.3778,103.6601,24.59,24.59,93,1.35,Pakxan,1683748118
203,luderitz,-26.6481,15.1594,15.24,15.24,79,3.26,Lüderitz,1683748119
204,cartagena,10.3997,-75.5144,30.79,30.79,40,4.12,Cartagena,1683748036
205,yeniseysk,58.4497,92.1703,-0.29,-0.29,20,1.63,Yeniseysk,1683748120
206,mejit,10.2753,170.8646,27.57,27.57,24,8.64,Mejit,1683748120
207,kalemie,-5.9475,29.1947,22.48,22.48,100,0.74,Kalemie,1683748121
208,giyani,-23.3025,30.7187,21.41,21.41,79,1.3,Giyani,1683748121
209,yelizovo,53.1873,158.3805,2.08,1.73,75,3.13,Yelizovo,1683748122
210,uddevalla,58.3478,11.9424,14.2,11.21,4,1.9,Uddevalla,1683747899
211,guerrero negro,27.9769,-114.0611,19.09,19.09,13,10.11,Guerrero Negro,1683748123
212,spring creek,40.7266,-115.5859,16.89,14.83,96,0.96,Spring Creek,1683748124
213,bamboo flat,11.7,92.7167,27.93,27.93,100,8.45,Bamboo Flat,1683748124
214,sokcho,38.2083,128.5911,13.34,13.34,14,2.57,Sokcho,1683747966
215,sao mateus do sul,-25.8742,-50.3828,19.84,19.84,4,0.84,São Mateus do Sul,1683748125
216,nerchinsk,51.9833,116.5833,14.31,14.31,100,2.18,Nerchinsk,1683748126
217,la mira,18.035,-102.3266,31.54,31.54,0,4.97,La Mira,1683748126
218,ponta delgada,37.7333,-25.6667,18.4,18.4,40,6.69,Ponta Delgada,1683747965
219,gadzhiyevo,69.2551,33.3362,3.02,3.02,100,4.46,Gadzhiyevo,1683748128
220,tazacorte,28.629,-17.9293,22.3,21.54,20,7.72,Tazacorte,1683748128
221,kirishi,59.4471,32.0205,8.1,8.1,53,0.9,Kirishi,1683748128
222,kievka,50.2619,71.5514,17.25,17.25,76,5.18,Kīevka,1683748129
223,kuta,-8.7233,115.1723,27.97,27.78,20,7.2,Kuta,1683748130
224,gobabis,-22.45,18.9667,18.78,18.78,0,4.03,Gobabis,1683748130
225,boa vista,2.8197,-60.6733,23.99,23.99,100,4.63,Boa Vista,1683748131
226,uturoa,-16.7333,-151.4333,27.8,27.8,81,9.95,Uturoa,1683748131
227,guelmim,28.987,-10.0574,27.28,27.28,43,3.1,Guelmim,1683748132
228,fortuna,40.5982,-124.1573,14.96,11.19,100,4.12,Fortuna,1683747724
229,embi,48.8264,58.1442,13.51,13.51,100,5.01,Emba,1683748133
230,sao raimundo nonato,-9.0153,-42.6994,33.11,33.11,57,3.08,São Raimundo Nonato,1683748133
231,kampong thom,12.7111,104.8887,25.76,25.76,83,2.19,Kampong Thom,1683748134
232,sitka,57.0531,-135.33,10.94,10.94,40,4.12,Sitka,1683748135
233,siracusa,37.0881,15.2792,16.65,14.62,95,1.24,Syracuse,1683747976
234,asaita,11.5636,41.4394,34.5,34.5,92,1.37,Asaita,1683748136
235,dalandzadgad,43.5708,104.425,10.37,10.37,97,10.23,Dalandzadgad,1683748136
236,machico,32.7,-16.7667,21.35,21.18,20,9.26,Machico,1683748137
237,kota kinabalu,5.9749,116.0724,25.99,25.99,20,2.06,Kota Kinabalu,1683748137
238,mahina,-17.5065,-149.489,28.87,28.75,75,2.06,Mahina,1683748138
239,carnarvon,-24.8667,113.6333,19.68,19.68,0,8.72,Carnarvon,1683748139
240,lebu,-37.6167,-73.65,14.37,14.37,100,5.59,Lebu,1683747981
241,sam roi yot,12.2708,99.872,26.4,26.4,100,1.17,Sam Roi Yot,1683748140
242,akureyri,65.6835,-18.0878,5.96,5.96,100,4.63,Akureyri,1683748140
243,utrik,11.2278,169.8474,27.43,27.43,80,8.66,Utrik,1683748141
244,plymouth,41.8334,-70.8328,24.01,16.66,0,3.6,Plymouth,1683747913
245,tura,25.5198,90.2201,24.31,24.31,0,2.19,Tura,1683748142
246,rakops,-21.0167,24.3333,20.89,20.89,0,0.74,Rakops,1683748143
247,sunne,59.8376,13.143,16.18,11.23,11,3.58,Sunne,1683748143
248,chakia,26.4167,85.05,27.71,27.71,0,1.9,Chākia,1683748144
249,tozkhurmato,34.8905,44.6299,26.32,26.32,80,2.51,Tuz Khurmatu District,1683748144
250,awjilah,29.1081,21.2869,24.2,24.2,87,6.11,Awjilah,1683748145
251,carauari,-4.8828,-66.8958,27.34,27.34,98,0.82,Carauari,1683748145
252,solnechnyy,50.7214,136.6319,1.67,1.67,11,0.84,Solnechnyy,1683748146
253,san martin,-33.081,-68.4681,19.3,19.3,100,1.68,San Martín,1683748147
254,nizhniy ingash,56.2,96.53,0.27,0.27,0,1.89,Nizhniy Ingash,1683748147
255,iquitos,-3.7481,-73.2472,29.02,29.02,75,2.06,Iquitos,1683747880
256,fada,9.5667,8.3,26.58,26.58,98,1.77,Fada,1683748148
257,puerto boyaca,5.9758,-74.5885,32.18,32.18,100,0.78,Puerto Boyacá,1683748149
258,fort stockton,30.894,-102.8793,31.2,30.03,0,5.14,Fort Stockton,1683748150
259,saint-pierre,-21.3393,55.4781,22.82,21.21,0,3.09,Saint-Pierre,1683748150
260,zvezdnyy,57.7325,56.3147,4.33,4.33,86,2.0,Zvëzdnyy,1683748151
261,viedma,-40.8135,-62.9967,15.26,15.26,81,1.54,Viedma,1683748151
262,vila velha,-20.3297,-40.2925,26.97,26.08,20,2.06,Vila Velha,1683748076
263,marka,1.7159,44.7717,26.52,26.52,21,5.96,Merca,1683748153
264,kuhmo,64.1333,29.5167,4.04,4.04,100,2.89,Kuhmo,1683748154
265,ulsteinvik,62.3432,5.8487,12.73,9.07,100,1.79,Ulsteinvik,1683748154
266,jaisalmer,26.9147,70.9181,33.53,33.53,0,1.77,Jaisalmer,1683748155
267,palikir - national government center,6.9248,158.1611,23.41,23.41,20,1.54,Palikir,1683748156
268,manicore,-5.8092,-61.3003,27.97,27.97,20,1.54,Manicoré,1683748156
269,siem reap,13.5,104.0,26.86,26.86,100,0.66,Siem Reap,1683748157
270,freetown,8.484,-13.2299,27.84,27.84,75,4.63,Freetown,1683748157
